Desc Bibliothèque;Desc Statut Exemplaire;ID Statut Exemplaire;Titre;No de Notice BIB;Desc4;Desc5;Auteur;Date Publication;Desc Format
BU St-Jean;En rayon;18;Anesthésie, réanimation;394767;PPN189008016;;Rozencwajg, Sacha;2015;Books
BU St-Jean;En rayon;18;Anesthésie, réanimation;416354;PPN223403474;;Trimaille, Antonin;2017;Books
BU St-Jean;En rayon;18;Anesthésie, réanimation;418345;PPN224715259;;Nguyen, Duc Huy Rémi;2018;Books
BU St-Jean;En rayon;18;Anesthésie, réanimation, médecine d'urgence en 1000 QROC;352736;PPN180554492;;Kupersztych-Hagège, Elisa;2014;Books
BU St-Jean;En rayon;18;Anesthésie, urgences - réanimation, ophtalmologie, ORL, maxillo-facial;418809;PPN22158854X;;Gavoille, Antoine (19..-....) (interne en médecine);2017;Books
BU St-Jean;En rayon;18;Annales 2017;415686;PPN223952605;;Beneyto, Maxime;2017;Books
BU St-Jean;En rayon;18;Annales 2017;425624;PPN227604717;;Patchinsky, Alexandra;2018;Books
BU St-Jean;En rayon;18;Annales ECN;280182;PPN151660522;;;2011;Books
BU St-Jean;En rayon;18;Annales ECN;281947;PPN151904049;;;2011;Books
BU St-Jean;En rayon;18;Annales ECN;314454;PPN160153948;;;2012;Books
BU St-Jean;En rayon;18;Annales ECN;331660;PPN168932032;;;2013;Books
BU St-Jean;En rayon;18;Annales ECN;331661;PPN168954176;;;2013;Books
BU St-Jean;En rayon;18;Annales ECN;342561;PPN177990678;;;2014;Books
BU St-Jean;En rayon;18;Annales ECN;358939;PPN185445500;;;2015;Books
BU St-Jean;En rayon;18;Annales ECN;358940;PPN185284736;;;2015;Books
BU St-Jean;En rayon;18;Annales ECN 2008;107588;PPN12689714X;;;2008;Books
BU St-Jean;En rayon;18;Annales ECN 2009;125864;PPN137108907;;;2009;Books
BU St-Jean;En rayon;18;Annales ECN 2010, 2011, 2012;399709;PPN191794163;;Herreros, Victor;2016;Books
BU St-Jean;En rayon;18;Annales ECN 2012;330627;PPN16871454X;;;2013;Books
BU St-Jean;En rayon;18;Annales ECN 2013;351963;PPN17794711X;;;2014;Books
BU St-Jean;En rayon;18;Annales ECN 2013, 2014, 2015;399697;PPN191594806;;Laurent, Jérémy (1986-....);2016;Books
BU St-Jean;En rayon;18;Annales ECN 2014;357565;PPN185067581;;;2015;Books
BU St-Jean;En rayon;18;Annales ECN [épreuves classantes nationales];153511;PPN143817507;;;2010;Books
BU St-Jean;En rayon;18;Annales ECN par année;153114;PPN144483858;;;2010;Books
BU St-Jean;En rayon;18;Annales ECNi 2016;409301;PPN200639730;;;2017;Books
BU St-Jean;En rayon;18;Annales Maloine ECN > ECNi 2004-2015;407771;PPN199170096;;Cognat, Emmanuel;2017;Books
BU St-Jean;En rayon;18;Annales Maloine ECN-internat 2002-2014;355838;PPN184282837;;Hoertel, Nicolas;2015;Books
