nb_pret;jour_pret;annee_pret;type_lecteur;date_pub;indice;titre;ppn;num;mois_pret;id_lecteur
1;Mardi;2017;L1;2009;375;Comment réussir votre oral;PPN137157703;127873;4;person_66
1;Jeudi;2019;M1;2014;910;Héliopolis;PPN182283186;417707;1;person_67
1;Lundi;2019;DO;2007;658;Coaching d'équipe;PPN113324421;127973;1;person_68
1;Mercredi;2015;M2;2014;616;Electrocardiogramme;PPN177317221;342214;8;person_69
1;Jeudi;2016;L3;2013;420;Le^nouveau TOEIC®;PPN172452430;342610;10;person_1
1;Lundi;2016;M2;2008;658;Réussir le changement;PPN124722660;127062;6;person_70
1;Lundi;2016;M2;2010;658;Marketing du tourisme durable;PPN147173124;272768;1;person_71
1;Mardi;2016;M2;2009;658;Gouvernance, éthique et RSE;PPN135314534;126464;6;person_72
1;Lundi;2015;M2;2014;616;Cardiologie, pathologies vasculaires;PPN180465996;352759;5;person_73
1;Lundi;2015;M2;2010;658;La^communication de crise;PPN146646525;268765;9;person_74
1;Jeudi;2016;PU;1997;658;La^grande distribution en Europe;PPN008128383;6443;6;person_75
1;Lundi;2015;L3;2013;616;Annales ECN;PPN168932032;331660;5;person_76
1;Dimanche;2017;M2;2016;616;Orthopédie, traumatologie;PPN194992713;404787;3;person_77
1;Vendredi;2016;PE;2005;658;La^société de l'audit;PPN083749373;60467;3;person_78
1;Mardi;2016;L3;2015;658;Gestion des ressources humaines;PPN18824154X;395104;10;person_79
1;Vendredi;2015;M2;1999;658;Faire de la recherche en contrôle de gestion ?;PPN045287376;8400;2;person_80
1;Dimanche;2019;L3;2015;540;Chimie organique;PPN187382980;361277;2;person_81
1;Lundi;2016;M2;2015;616;Gynécologie, obstétrique;PPN184541840;356805;10;person_77
1;Vendredi;2018;M2;2017;616;Hématologie;PPN199220786;407778;4;person_82
1;Jeudi;2016;M1;2012;658;Trésorerie d'entreprise;PPN161458564;316378;10;person_83
1;Samedi;2017;L1;2009;657;Analyse financière;PPN136800998;140928;6;person_84
1;Mercredi;2019;M1;2015;657;La^pratique de l'audit et du contrôle interne;PPN186272464;402414;6;person_85
1;Samedi;2019;M1;2017;616;Cardiologie, pneumologie;PPN220480478;418813;2;person_86
1;Jeudi;2016;L1;2012;658;Pentacom;PPN160623790;314743;4;person_87
1;Mercredi;2015;M6;2012;616;Neurologie;PPN164628312;325634;10;person_88
1;Jeudi;2018;M2;2006;658;Management de projet;PPN11029212X;89548;2;person_89
1;Mercredi;2015;M1;2013;616;Ophtalmologie;PPN171345649;335022;2;person_90
1;Mercredi;2015;LE;1996;500;La^formation de la pratique scientifique;PPN003765326;94755;7;person_91
1;Samedi;2017;M2;2015;616;Santé publique;PPN190672269;397921;5;person_92
1;Lundi;2015;M2;2000;152;Traité de neuropsychologie clinique;PPN052122611;23522;9;person_93
1;Dimanche;2015;M2;2014;616;Hématologie;PPN181011751;350276;3;person_94
1;Jeudi;2015;L3;2007;618;Du soin au rite dans l'enfance;PPN119985845;309667;12;person_95
1;Jeudi;2015;EC;2011;658;La^responsabilité sociale de l'entreprise;PPN152681507;279010;2;person_96
1;Samedi;2015;M1;2006;658;Stratégie;PPN108980189;84786;3;person_97
1;Mardi;2018;M2;2010;658;Communication et environnement, le pacte impossible;PPN147635349;270808;2;person_98
1;Mardi;2016;M1;2012;658;Les^réseaux sociaux et l'entreprise;PPN16122847X;324018;4;person_99
1;Samedi;2019;L2;2011;657;Exercices corrigés de comptabilité générale;PPN154469009;307415;2;person_100
1;Vendredi;2015;M2;2012;616;Handicap, incapacité, dépendance;PPN164287868;324905;7;person_101
1;Mercredi;2018;M1;2016;376;Un^CV réussi !;PPN19299039X;404986;3;person_102
1;Jeudi;2019;M1;2008;658;Management d'équipe;PPN129731633;115310;2;person_103
1;Mercredi;2015;M2;2014;616;Référentiel de psychiatrie;PPN18127454X;350270;7;person_104
1;Vendredi;2017;L3;2015;658;Gestion financière de l'entreprise;PPN183255623;354342;12;person_105
1;Mardi;2016;PU;2014;658;Management et leadership;PPN180762842;358163;2;person_106
1;Dimanche;2017;M2;2007;658;Consultants en organisation;PPN113600836;98749;10;person_107
1;Mercredi;2019;DO;2010;658;Le^grand livre de la qualité;PPN142861286;153062;1;person_108
1;Lundi;2019;DO;2013;616;Neurologie;PPN172071852;337624;2;person_109
1;Dimanche;2016;LE;2009;658;Système lean;PPN131548808;358213;4;person_110
1;Mercredi;2015;M1;2010;658;Attirer et fidéliser les bonnes compétences;PPN143432893;270935;6;person_111
1;Vendredi;2018;M2;2002;658;Les^mystères du leadership;PPN068714416;34094;3;person_112
1;Vendredi;2015;M2;2013;616;Hépato-gastro entérologie;PPN172299411;336432;6;person_113
1;Jeudi;2019;M2;1987;658;PME-PMI, la démarche qualité;PPN001223321;128705;1;person_114
1;Mercredi;2016;L1;1978;576;Le^Gène égoïste;PPN000265187;306467;11;person_115
1;Mercredi;2015;M2;2012;657;L'essentiel de l'analyse financière;PPN159631394;313310;2;person_116
1;Vendredi;2017;M2;2016;658;Réussir sa transformation digitale;PPN195457366;404347;7;person_117
1;Vendredi;2019;LE;2017;658;Les^accélérateurs de vente;PPN203699831;411685;7;person_118
1;Lundi;2018;L3;2017;658;Analyse financière;PPN204564344;411735;4;person_62
1;Lundi;2018;M2;2014;616;Neurologie;PPN182023826;352993;10;person_119
1;Lundi;2016;PU;2011;658;Finance d'entreprise;PPN153599359;306320;12;person_120
1;Samedi;2015;M1;2006;658;Guide des produits responsables labellisés;PPN103898190;88534;2;person_121
1;Mercredi;2016;L2;2010;658;Marketing du tourisme durable;PPN147173124;272768;4;person_122
1;Lundi;2016;M2;2013;420;TOEIC®;PPN171587308;348221;2;person_123
1;Vendredi;2018;M2;2017;616;Ophtalmologie;PPN204333822;411137;11;person_124
1;Mercredi;2015;M1;2008;370;Faits d'école;PPN127563393;109627;12;person_125
1;Dimanche;2019;LE;1951;370;Introduction a l'histoire de l'éducation;PPN024911739;76771;2;person_126
1;Samedi;2016;L1;2014;616;Gynécologie et obstétrique;PPN18089918X;351166;12;person_127
1;Vendredi;2017;M2;2012;420;Harrap's dictionnaire des expressions anglaises;PPN162427182;325875;1;person_128
1;Mardi;2016;PU;2012;461;Espagnol;PPN160968461;336400;8;person_129
1;Jeudi;2015;M2;2010;657;Comptabilité générale & gestion des entreprises;PPN146642732;309307;11;person_130
1;Mercredi;2016;LC;2007;658;Management et gestion des organisations;PPN117983039;96957;5;person_131
1;Mardi;2018;M1;2013;420;Préparer et réussir le TOEIC®;PPN17135303X;338648;1;person_132
1;Samedi;2016;M2;2016;616;Endocrinologie, diabétologie et maladies métaboliques;PPN196210259;404398;11;person_133
1;Jeudi;2018;M2;1995;371;Les^différenciations de la pédagogie;PPN003591131;326007;4;person_134
1;Jeudi;2017;L3;2013;658;Analyse financière;PPN167721526;348456;3;person_135
1;Mardi;2017;M2;2017;616;ORL, chirurgie maxillo-faciale;PPN197923348;406938;6;person_92
1;Mercredi;2016;M1;2015;616;Hépato-gastro-entérologie, chirurgie digestive;PPN188482318;360428;3;person_136
1;Mardi;2019;EC;2017;973;Le^paradis de l'Amérique;PPN202949982;421366;3;person_137
1;Vendredi;2019;L2;2018;658;Management des systèmes d'information et de la transformation digitale;PPN231007434;423400;2;person_138
1;Mardi;2016;L3;2009;158;Prévenir les dégâts du travail;PPN13738033X;129376;2;person_139
1;Vendredi;2018;M2;2016;616;Hématologie;PPN194975533;404789;3;person_136
1;Vendredi;2019;M1;2018;616;Hépato-gastro-entérologie, chirurgie digestive;PPN231492669;422779;2;person_140
1;Lundi;2017;M2;2016;657;DSCG 4;PPN195564022;403827;9;person_141
1;Lundi;2017;M2;2016;658;Contrôle de gestion;PPN193874784;403522;4;person_142
1;Mercredi;2016;M2;2006;658;Le^management de proximité, une question d'apprentissage émotionnel;PPN11392609X;90731;5;person_143
1;Jeudi;2015;L3;2006;658;Management de la distribution;PPN110217314;127966;6;person_144
1;Samedi;2017;M2;2014;658;Manager au XXIe siècle;PPN183397304;357707;2;person_145
1;Vendredi;2016;L1;2015;616;Gynécologie, obstétrique;PPN184541840;356805;2;person_146
